rank,player,avg,total_distance,total_drives,tournament
63,Nate Lashley,315.5,"2,524",8,Black Desert Championship
64,Roger Sloan,313.8,"2,510",8,Black Desert Championship
65,Tom Whitney,312.5,"2,500",8,Black Desert Championship
66,Justin Suh,310.9,"2,487",8,Black Desert Championship
67,Chez Reavie,309.9,"2,479",8,Black Desert Championship
68,Raul Pereda,308.6,"2,469",8,Black Desert Championship
69,Zac Blair,300.1,"2,401",8,Black Desert Championship
1,Jhonattan Vegas,327.3,"2,618",8,Sanderson Farms Championship
2,Paul Barjon,327.0,"2,616",8,Sanderson Farms Championship
3,Michael Thorbjornsen,326.9,"2,615",8,Sanderson Farms Championship
4,Gary Woodland,326.0,"2,608",8,Sanderson Farms Championship
5,Trey Mullinax,323.4,"2,587",8,Sanderson Farms Championship
6,Joseph Bramlett,322.8,"2,582",8,Sanderson Farms Championship
7,Luke List,322.0,"2,576",8,Sanderson Farms Championship
8,Taylor Moore,321.1,"2,569",8,Sanderson Farms Championship
9,Hayden Springer,320.6,"2,565",8,Sanderson Farms Championship
10,Alex Smalley,320.4,"2,563",8,Sanderson Farms Championship
11,Nick Hardy,319.3,"2,554",8,Sanderson Farms Championship
12,Matti Schmid,318.9,"2,551",8,Sanderson Farms Championship
13,Beau Hossler,317.9,"2,543",8,Sanderson Farms Championship
14,Chan Kim,317.6,"2,541",8,Sanderson Farms Championship
14,Keith Mitchell,317.6,"2,541",8,Sanderson Farms Championship
16,Adrien Dumont de Chassart,315.1,"2,521",8,Sanderson Farms Championship
17,Patrick Fishburn,312.0,"2,496",8,Sanderson Farms Championship
17,Will Gordon,312.0,"2,496",8,Sanderson Farms Championship
19,Callum Tarren,311.9,"2,495",8,Sanderson Farms Championship
20,Sami Valimaki,311.1,"2,489",8,Sanderson Farms Championship
21,Stephan Jaeger,310.9,"2,487",8,Sanderson Farms Championship
22,Sam Stevens,310.5,"2,484",8,Sanderson Farms Championship
23,Daniel Berger,310.3,"2,482",8,Sanderson Farms Championship
24,Vince Whaley,309.9,"2,479",8,Sanderson Farms Championship
25,Ryan Hall,309.5,"2,476",8,Sanderson Farms Championship
25,Charley Hoffman,309.5,"2,476",8,Sanderson Farms Championship
27,Wesley Bryan,308.9,"2,471",8,Sanderson Farms Championship
28,Kevin Streelman,308.6,"2,469",8,Sanderson Farms Championship
29,Jacob Bridgeman,307.6,"2,461",8,Sanderson Farms Championship
30,Trace Crowe,307.5,"2,460",8,Sanderson Farms Championship
31,Joe Highsmith,307.3,"2,458",8,Sanderson Farms Championship
32,Ryan Fox,307.1,"2,457",8,Sanderson Farms Championship
32,Seamus Power,307.1,"2,457",8,Sanderson Farms Championship
32,Austin Smotherman,307.1,"2,457",8,Sanderson Farms Championship
35,Kevin Yu,305.5,"2,444",8,Sanderson Farms Championship
36,Mac Meissner,305.3,"2,442",8,Sanderson Farms Championship
,Field Average,304.8,,,Sanderson Farms Championship
37,K.H. Lee,304.5,"2,436",8,Sanderson Farms Championship
38,Mackenzie Hughes,304.1,"2,433",8,Sanderson Farms Championship
39,Chesson Hadley,303.9,"2,431",8,Sanderson Farms Championship
40,Rico Hoey,303.5,"2,428",8,Sanderson Farms Championship
41,Roger Sloan,303.4,"2,427",8,Sanderson Farms Championship
42,Bill Haas,303.3,"2,426",8,Sanderson Farms Championship
43,Bud Cauley,302.6,"2,421",8,Sanderson Farms Championship
44,Patton Kizzire,302.0,"2,416",8,Sanderson Farms Championship
44,Matt NeSmith,302.0,"2,416",8,Sanderson Farms Championship
44,Henrik Norlander,302.0,"2,416",8,Sanderson Farms Championship
47,Ben Griffin,301.3,"2,410",8,Sanderson Farms Championship
48,Chandler Phillips,300.4,"2,403",8,Sanderson Farms Championship
49,Nick Dunlap,300.3,"2,402",8,Sanderson Farms Championship
50,Nate Lashley,298.1,"2,385",8,Sanderson Farms Championship
51,Martin Laird,297.6,"2,381",8,Sanderson Farms Championship
51,Andrew Novak,297.6,"2,381",8,Sanderson Farms Championship
53,David Skinns,297.4,"2,379",8,Sanderson Farms Championship
54,Lee Hodges,297.1,"2,377",8,Sanderson Farms Championship
55,Nicholas Lindheim,296.8,"2,374",8,Sanderson Farms Championship
56,Emiliano Grillo,296.4,"2,371",8,Sanderson Farms Championship
56,Matt McCarty,296.4,"2,371",8,Sanderson Farms Championship
58,Lucas Glover,296.0,"2,368",8,Sanderson Farms Championship
59,Mark Hubbard,295.6,"2,365",8,Sanderson Farms Championship
60,Doug Ghim,295.0,"2,360",8,Sanderson Farms Championship
61,Justin Lower,294.9,"2,359",8,Sanderson Farms Championship
62,Ben Kohles,294.6,"2,357",8,Sanderson Farms Championship
63,Carson Young,294.3,"2,354",8,Sanderson Farms Championship
64,Eric Cole,292.1,"2,337",8,Sanderson Farms Championship
65,Brice Garnett,291.0,"2,328",8,Sanderson Farms Championship
66,Rickie Fowler,287.1,"2,297",8,Sanderson Farms Championship
67,Brandt Snedeker,282.0,"2,256",8,Sanderson Farms Championship
68,Brandon Wu,280.9,"2,247",8,Sanderson Farms Championship
1,Rico Hoey,329.9,"2,639",8,Procore Championship
2,Min Woo Lee,323.0,"2,584",8,Procore Championship
3,Patrick Rodgers,321.6,"2,573",8,Procore Championship
4,Kevin Dougherty,318.9,"2,551",8,Procore Championship
5,Doug Ghim,318.4,"2,547",8,Procore Championship
6,Sahith Theegala,318.1,"2,545",8,Procore Championship
7,Pierceson Coody,318.0,"2,544",8,Procore Championship
8,"Blaine Hale, Jr.",315.5,"2,524",8,Procore Championship
9,Chesson Hadley,315.3,"2,522",8,Procore Championship
10,Rafael Campos,314.6,"2,517",8,Procore Championship
11,David Skinns,313.9,"2,511",8,Procore Championship
12,Wesley Bryan,313.4,"2,507",8,Procore Championship
13,Tom Johnson,313.3,"2,506",8,Procore Championship
14,Keith Mitchell,313.0,"2,504",8,Procore Championship
15,Patrick Fishburn,312.3,"2,498",8,Procore Championship
15,Matti Schmid,312.3,"2,498",8,Procore Championship
15,Jhonattan Vegas,312.3,"2,498",8,Procore Championship
18,Michael Thorbjornsen,311.9,"2,495",8,Procore Championship
19,Lanto Griffin,310.4,"2,483",8,Procore Championship
20,Josh Teater,309.4,"2,475",8,Procore Championship
21,Luke Clanton,309.3,"2,474",8,Procore Championship
21,Wilson Furr,309.3,"2,474",8,Procore Championship
23,Garrick Higgo,308.4,"2,467",8,Procore Championship
23,Neal Shipley,308.4,"2,467",8,Procore Championship
25,Sam Stevens,308.0,"2,464",8,Procore Championship
26,Charley Hoffman,307.8,"2,462",8,Procore Championship
26,Justin Suh,307.8,"2,462",8,Procore Championship
28,Justin Lower,307.0,"2,456",8,Procore Championship
29,Kevin Tway,306.5,"2,452",8,Procore Championship
30,Aaron Baddeley,306.3,"2,450",8,Procore Championship
31,Nick Hardy,306.1,"2,449",8,Procore Championship
32,Corey Conners,305.6,"2,445",8,Procore Championship
33,Austin Smotherman,305.3,"2,442",8,Procore Championship
34,Bud Cauley,305.0,"2,440",8,Procore Championship
35,J.J. Spaun,304.6,"2,437",8,Procore Championship
36,Johnny Keefer,304.4,"2,435",8,Procore Championship
36,Chan Kim,304.4,"2,435",8,Procore Championship
38,Joel Dahmen,304.3,"2,434",8,Procore Championship
39,Tom Hoge,304.0,"2,432",8,Procore Championship
39,Matt Kuchar,304.0,"2,432",8,Procore Championship
,Field Average,303.1,,,Procore Championship
41,Joe Highsmith,302.8,"2,422",8,Procore Championship
42,Patton Kizzire,302.4,"2,419",8,Procore Championship
43,Mackenzie Hughes,301.5,"2,412",8,Procore Championship
44,Henrik Norlander,301.4,"2,411",8,Procore Championship
45,J.B. Holmes,299.4,"2,395",8,Procore Championship
46,Webb Simpson,298.3,"2,386",8,Procore Championship
47,Ben Kohles,296.5,"2,372",8,Procore Championship
48,Chandler Phillips,296.0,"2,368",8,Procore Championship
49,Zac Blair,295.5,"2,364",8,Procore Championship
50,Ben Silverman,295.1,"2,361",8,Procore Championship
51,Kevin Chappell,293.9,"2,351",8,Procore Championship
52,Adam Svensson,293.8,"2,350",8,Procore Championship
53,Greyson Sigg,293.0,"2,344",8,Procore Championship
54,Sangmoon Bae,292.6,"2,341",8,Procore Championship
54,David Lipsky,292.6,"2,341",8,Procore Championship
56,Brendon Todd,290.4,"2,323",8,Procore Championship
57,Lucas Glover,289.4,"2,315",8,Procore Championship
58,Martin Laird,288.8,"2,310",8,Procore Championship
59,Chad Ramey,288.4,"2,307",8,Procore Championship
60,Chez Reavie,286.6,"2,293",8,Procore Championship
61,Roger Sloan,285.4,"2,283",8,Procore Championship
62,Brandon Wu,282.9,"2,263",8,Procore Championship
63,Tom Whitney,282.8,"2,262",8,Procore Championship
64,Andrew Putnam,281.5,"2,252",8,Procore Championship
65,Brandt Snedeker,278.6,"2,229",8,Procore Championship
1,Scottie Scheffler,338.6,"2,709",8,TOUR Championship
2,Rory McIlroy,336.4,"2,691",8,TOUR Championship
3,Byeong Hun An,332.5,"2,660",8,TOUR Championship
4,Taylor Pendrith,330.1,"2,641",8,TOUR Championship
5,Tony Finau,329.6,"2,637",8,TOUR Championship
6,Sahith Theegala,327.5,"2,620",8,TOUR Championship
7,Robert MacIntyre,326.8,"2,614",8,TOUR Championship
8,Patrick Cantlay,325.1,"2,601",8,TOUR Championship
9,Ludvig Åberg,325.0,"2,600",8,TOUR Championship
10,Viktor Hovland,323.4,"2,587",8,TOUR Championship
11,Sam Burns,323.3,"2,586",8,TOUR Championship
12,Collin Morikawa,322.6,"2,581",8,TOUR Championship
13,Matthieu Pavon,322.0,"2,576",8,TOUR Championship
14,Sungjae Im,320.0,"2,560",8,TOUR Championship
,Field Average,319.6,,,TOUR Championship
15,Chris Kirk,319.6,"2,557",8,TOUR Championship
15,Justin Thomas,319.6,"2,557",8,TOUR Championship
17,Wyndham Clark,319.4,"2,555",8,TOUR Championship
17,Xander Schauffele,319.4,"2,555",8,TOUR Championship
19,Tommy Fleetwood,319.1,"2,553",8,TOUR Championship
20,Keegan Bradley,319.0,"2,552",8,TOUR Championship
21,Hideki Matsuyama,318.8,"2,550",8,TOUR Championship
22,Adam Scott,318.5,"2,548",8,TOUR Championship
23,Tom Hoge,315.3,"2,522",8,TOUR Championship
24,Shane Lowry,310.0,"2,480",8,TOUR Championship
25,Sepp Straka,309.5,"2,476",8,TOUR Championship
26,Russell Henley,307.4,"2,459",8,TOUR Championship
27,Billy Horschel,307.1,"2,457",8,TOUR Championship
28,Aaron Rai,304.9,"2,439",8,TOUR Championship
29,Akshay Bhatia,301.8,"2,414",8,TOUR Championship
30,Christiaan Bezuidenhout,296.4,"2,371",8,TOUR Championship
1,Byeong Hun An,338.3,"2,706",8,BMW Championship
2,Nick Dunlap,335.9,"2,687",8,BMW Championship
3,Wyndham Clark,331.3,"2,650",8,BMW Championship
4,Shane Lowry,327.6,"2,621",8,BMW Championship
5,Xander Schauffele,327.0,"2,616",8,BMW Championship
6,Sahith Theegala,325.6,"2,605",8,BMW Championship
7,Viktor Hovland,324.5,"2,596",8,BMW Championship
8,Sungjae Im,322.9,"2,583",8,BMW Championship
9,Taylor Pendrith,321.8,"2,574",8,BMW Championship
10,Ludvig Åberg,321.5,"2,572",8,BMW Championship
11,Rory McIlroy,321.0,"2,568",8,BMW Championship
12,Justin Thomas,318.9,"2,551",8,BMW Championship
13,Corey Conners,318.8,"2,550",8,BMW Championship
14,Eric Cole,318.4,"2,547",8,BMW Championship
15,Adam Scott,317.4,"2,539",8,BMW Championship
16,Brian Harman,317.3,"2,538",8,BMW Championship
17,Cam Davis,317.1,"2,537",8,BMW Championship
18,Matthieu Pavon,316.5,"2,532",8,BMW Championship
19,Thomas Detry,315.9,"2,527",8,BMW Championship
20,Keegan Bradley,315.8,"2,526",8,BMW Championship
21,Sam Burns,315.5,"2,524",8,BMW Championship
22,Si Woo Kim,315.4,"2,523",8,BMW Championship
23,Russell Henley,315.3,"2,522",8,BMW Championship
23,Davis Thompson,315.3,"2,522",8,BMW Championship
25,Patrick Cantlay,315.0,"2,520",8,BMW Championship
26,Will Zalatoris,314.9,"2,519",8,BMW Championship
,Field Average,314.6,,,BMW Championship
27,Chris Kirk,314.4,"2,515",8,BMW Championship
28,Tommy Fleetwood,313.9,"2,511",8,BMW Championship
28,J.T. Poston,313.9,"2,511",8,BMW Championship
30,Jason Day,312.6,"2,501",8,BMW Championship
31,Max Greyserman,312.0,"2,496",8,BMW Championship
32,Adam Hadwin,311.4,"2,491",8,BMW Championship
33,Stephan Jaeger,311.3,"2,490",8,BMW Championship
34,Austin Eckroat,310.9,"2,487",8,BMW Championship
35,Sepp Straka,310.1,"2,481",8,BMW Championship
36,Cameron Young,309.8,"2,478",8,BMW Championship
37,Billy Horschel,307.8,"2,462",8,BMW Championship
38,Denny McCarthy,306.6,"2,453",8,BMW Championship
39,Tony Finau,306.5,"2,452",8,BMW Championship
40,Tom Hoge,306.4,"2,451",8,BMW Championship
41,Aaron Rai,306.0,"2,448",8,BMW Championship
42,Collin Morikawa,305.4,"2,443",8,BMW Championship
42,Alex Noren,305.4,"2,443",8,BMW Championship
44,Akshay Bhatia,304.4,"2,435",8,BMW Championship
45,Matt Fitzpatrick,301.5,"2,412",8,BMW Championship
46,Christiaan Bezuidenhout,300.5,"2,404",8,BMW Championship
47,Scottie Scheffler,299.0,"2,392",8,BMW Championship
48,Max Homa,297.4,"2,379",8,BMW Championship
1,Taylor Moore,327.9,"2,623",8,FedEx St. Jude Championship
2,Max Greyserman,327.5,"2,620",8,FedEx St. Jude Championship
3,Xander Schauffele,326.6,"2,613",8,FedEx St. Jude Championship
4,Byeong Hun An,325.5,"2,604",8,FedEx St. Jude Championship
5,Taylor Pendrith,324.9,"2,599",8,FedEx St. Jude Championship
6,Justin Thomas,324.3,"2,594",8,FedEx St. Jude Championship
7,Will Zalatoris,321.3,"2,570",8,FedEx St. Jude Championship
8,Min Woo Lee,320.8,"2,566",8,FedEx St. Jude Championship
9,Ludvig Åberg,320.6,"2,565",8,FedEx St. Jude Championship
10,Cameron Young,320.1,"2,561",8,FedEx St. Jude Championship
11,Jhonattan Vegas,319.9,"2,559",8,FedEx St. Jude Championship
12,Sahith Theegala,318.1,"2,545",8,FedEx St. Jude Championship
13,Thomas Detry,317.8,"2,542",8,FedEx St. Jude Championship
13,Erik van Rooyen,317.8,"2,542",8,FedEx St. Jude Championship
15,Keegan Bradley,317.6,"2,541",8,FedEx St. Jude Championship
16,Cam Davis,316.5,"2,532",8,FedEx St. Jude Championship
17,Corey Conners,316.3,"2,530",8,FedEx St. Jude Championship
17,Rory McIlroy,316.3,"2,530",8,FedEx St. Jude Championship
19,Viktor Hovland,316.1,"2,529",8,FedEx St. Jude Championship
20,Patrick Cantlay,316.0,"2,528",8,FedEx St. Jude Championship
21,Sam Burns,315.5,"2,524",8,FedEx St. Jude Championship
21,Hideki Matsuyama,315.5,"2,524",8,FedEx St. Jude Championship
23,Austin Eckroat,315.1,"2,521",8,FedEx St. Jude Championship
24,Maverick McNealy,314.9,"2,519",8,FedEx St. Jude Championship
25,Stephan Jaeger,314.6,"2,517",8,FedEx St. Jude Championship
25,Davis Thompson,314.6,"2,517",8,FedEx St. Jude Championship
27,Wyndham Clark,314.0,"2,512",8,FedEx St. Jude Championship
27,Tony Finau,314.0,"2,512",8,FedEx St. Jude Championship
29,Robert MacIntyre,313.9,"2,511",8,FedEx St. Jude Championship
30,Jordan Spieth,313.3,"2,506",8,FedEx St. Jude Championship
31,Jake Knapp,313.1,"2,505",8,FedEx St. Jude Championship
32,Alex Noren,310.9,"2,487",8,FedEx St. Jude Championship
33,Tom Kim,310.6,"2,485",8,FedEx St. Jude Championship
,Field Average,310.2,,,FedEx St. Jude Championship
34,Mackenzie Hughes,310.1,"2,481",8,FedEx St. Jude Championship
35,Justin Rose,309.9,"2,479",8,FedEx St. Jude Championship
36,Scottie Scheffler,309.6,"2,477",8,FedEx St. Jude Championship
37,Tom Hoge,309.0,"2,472",8,FedEx St. Jude Championship
38,Shane Lowry,308.9,"2,471",8,FedEx St. Jude Championship
39,Max Homa,308.6,"2,469",8,FedEx St. Jude Championship
39,Sungjae Im,308.6,"2,469",8,FedEx St. Jude Championship
41,Billy Horschel,308.5,"2,468",8,FedEx St. Jude Championship
41,Peter Malnati,308.5,"2,468",8,FedEx St. Jude Championship
43,Eric Cole,308.1,"2,465",8,FedEx St. Jude Championship
43,Denny McCarthy,308.1,"2,465",8,FedEx St. Jude Championship
45,Seamus Power,307.9,"2,463",8,FedEx St. Jude Championship
46,Nick Dunlap,307.8,"2,462",8,FedEx St. Jude Championship
47,Matthieu Pavon,306.8,"2,454",8,FedEx St. Jude Championship
48,Emiliano Grillo,306.3,"2,450",8,FedEx St. Jude Championship
49,Adam Scott,305.8,"2,446",8,FedEx St. Jude Championship
50,Patrick Rodgers,305.5,"2,444",8,FedEx St. Jude Championship
51,Akshay Bhatia,304.4,"2,435",8,FedEx St. Jude Championship
51,Adam Hadwin,304.4,"2,435",8,FedEx St. Jude Championship
53,Jason Day,304.1,"2,433",8,FedEx St. Jude Championship
54,Tommy Fleetwood,303.9,"2,431",8,FedEx St. Jude Championship
55,Mark Hubbard,303.4,"2,427",8,FedEx St. Jude Championship
56,J.T. Poston,303.3,"2,426",8,FedEx St. Jude Championship
57,Collin Morikawa,302.8,"2,422",8,FedEx St. Jude Championship
58,Sepp Straka,302.6,"2,421",8,FedEx St. Jude Championship
59,Harris English,302.4,"2,419",8,FedEx St. Jude Championship
60,Brian Harman,302.3,"2,418",8,FedEx St. Jude Championship
61,Chris Kirk,301.1,"2,409",8,FedEx St. Jude Championship
62,Victor Perez,300.4,"2,403",8,FedEx St. Jude Championship
63,Russell Henley,296.1,"2,369",8,FedEx St. Jude Championship
64,Ben Griffin,295.9,"2,367",8,FedEx St. Jude Championship
65,Christiaan Bezuidenhout,295.4,"2,363",8,FedEx St. Jude Championship
65,Nick Taylor,295.4,"2,363",8,FedEx St. Jude Championship
67,Brendon Todd,294.3,"2,354",8,FedEx St. Jude Championship
68,Si Woo Kim,293.9,"2,351",8,FedEx St. Jude Championship
69,Matt Fitzpatrick,290.5,"2,324",8,FedEx St. Jude Championship
69,Aaron Rai,290.5,"2,324",8,FedEx St. Jude Championship
1,Chris Gotterup,329.0,"2,632",8,Wyndham Championship
2,Max Greyserman,327.4,"2,619",8,Wyndham Championship
3,Cameron Champ,327.3,"2,618",8,Wyndham Championship
4,Cameron Young,326.4,"2,611",8,Wyndham Championship
5,Keith Mitchell,319.9,"2,559",8,Wyndham Championship
6,Jhonattan Vegas,318.3,"2,546",8,Wyndham Championship
7,Nick Hardy,317.4,"2,539",8,Wyndham Championship
8,Victor Perez,315.5,"2,524",8,Wyndham Championship
9,Taylor Moore,315.1,"2,521",8,Wyndham Championship
10,Davis Thompson,314.9,"2,519",8,Wyndham Championship
11,Rico Hoey,314.8,"2,518",8,Wyndham Championship
12,Gary Woodland,314.6,"2,517",8,Wyndham Championship
13,Austin Eckroat,314.3,"2,514",8,Wyndham Championship
14,Beau Hossler,314.1,"2,513",8,Wyndham Championship
14,Matt Wallace,314.1,"2,513",8,Wyndham Championship
16,Keegan Bradley,313.8,"2,510",8,Wyndham Championship
17,Patrick Rodgers,313.3,"2,506",8,Wyndham Championship
18,Seamus Power,312.6,"2,501",8,Wyndham Championship
18,Kevin Tway,312.6,"2,501",8,Wyndham Championship
20,Pierceson Coody,312.3,"2,498",8,Wyndham Championship
21,Chan Kim,311.6,"2,493",8,Wyndham Championship
22,S.H. Kim,311.1,"2,489",8,Wyndham Championship
23,Charley Hoffman,310.8,"2,486",8,Wyndham Championship
24,Jacob Bridgeman,310.3,"2,482",8,Wyndham Championship
25,Matti Schmid,310.1,"2,481",8,Wyndham Championship
26,Davis Riley,309.4,"2,475",8,Wyndham Championship
27,Martin Trainer,309.1,"2,473",8,Wyndham Championship
28,Luke Clanton,308.3,"2,466",8,Wyndham Championship
29,J.J. Spaun,307.1,"2,457",8,Wyndham Championship
30,Mackenzie Hughes,307.0,"2,456",8,Wyndham Championship
31,Doug Ghim,306.3,"2,450",8,Wyndham Championship
,Field Average,306.1,,,Wyndham Championship
32,K.H. Lee,305.6,"2,445",8,Wyndham Championship
32,Vince Whaley,305.6,"2,445",8,Wyndham Championship
34,Mac Meissner,305.0,"2,440",8,Wyndham Championship
35,Justin Suh,304.0,"2,432",8,Wyndham Championship
36,Eric Cole,303.9,"2,431",8,Wyndham Championship
37,Maverick McNealy,303.6,"2,429",8,Wyndham Championship
38,Sungjae Im,303.5,"2,428",8,Wyndham Championship
39,Jorge Campillo,302.3,"2,418",8,Wyndham Championship
40,Adam Hadwin,302.1,"2,417",8,Wyndham Championship
41,Andrew Novak,302.0,"2,416",8,Wyndham Championship
41,Ben Taylor,302.0,"2,416",8,Wyndham Championship
43,Billy Horschel,301.6,"2,413",8,Wyndham Championship
44,Nico Echavarria,300.6,"2,405",8,Wyndham Championship
45,Adam Svensson,300.4,"2,403",8,Wyndham Championship
46,Daniel Berger,299.6,"2,397",8,Wyndham Championship
46,Trace Crowe,299.6,"2,397",8,Wyndham Championship
48,Nate Lashley,298.6,"2,389",8,Wyndham Championship
49,Ryo Hisatsune,298.5,"2,388",8,Wyndham Championship
50,Chad Ramey,298.3,"2,386",8,Wyndham Championship
51,Chandler Phillips,296.3,"2,370",8,Wyndham Championship
52,Emiliano Grillo,295.9,"2,367",8,Wyndham Championship
53,Joel Dahmen,295.8,"2,366",8,Wyndham Championship
53,Matt Kuchar,295.8,"2,366",8,Wyndham Championship
55,Zach Johnson,294.8,"2,358",8,Wyndham Championship
56,Roger Sloan,293.9,"2,351",8,Wyndham Championship
57,Justin Lower,292.1,"2,337",8,Wyndham Championship
58,Christiaan Bezuidenhout,291.6,"2,333",8,Wyndham Championship
59,Brian Harman,289.9,"2,319",8,Wyndham Championship
60,Brice Garnett,289.6,"2,317",8,Wyndham Championship
61,Denny McCarthy,289.3,"2,314",8,Wyndham Championship
62,Ben Griffin,288.3,"2,306",8,Wyndham Championship
63,Aaron Rai,287.1,"2,297",8,Wyndham Championship
64,Ryan Moore,286.6,"2,293",8,Wyndham Championship
65,Brendon Todd,285.1,"2,281",8,Wyndham Championship
66,Zac Blair,284.8,"2,278",8,Wyndham Championship
1,Cameron Champ,321.0,"2,568",8,3M Open
2,Keith Mitchell,315.8,"2,526",8,3M Open
3,Hayden Springer,313.8,"2,510",8,3M Open
4,Taylor Pendrith,312.4,"2,499",8,3M Open
5,Max Greyserman,311.3,"2,490",8,3M Open
6,MJ Daffue,309.8,"2,478",8,3M Open
7,Jhonattan Vegas,308.8,"2,470",8,3M Open
8,Joe Highsmith,308.1,"2,465",8,3M Open
9,Gary Woodland,307.1,"2,457",8,3M Open
10,Neal Shipley,306.9,"2,455",8,3M Open
11,Nick Hardy,306.5,"2,452",8,3M Open
11,Matti Schmid,306.5,"2,452",8,3M Open
13,Taylor Moore,306.1,"2,449",8,3M Open
14,Adam Schenk,306.0,"2,448",8,3M Open
15,Kevin Yu,305.5,"2,444",8,3M Open
16,Jacob Bridgeman,305.3,"2,442",8,3M Open
16,Sam Burns,305.3,"2,442",8,3M Open
18,Seamus Power,304.9,"2,439",8,3M Open
19,Chris Gotterup,304.5,"2,436",8,3M Open
20,K.H. Lee,304.4,"2,435",8,3M Open
21,Cam Davis,304.1,"2,433",8,3M Open
21,Cody Gribble,304.1,"2,433",8,3M Open
21,Davis Riley,304.1,"2,433",8,3M Open
24,Lanto Griffin,303.6,"2,429",8,3M Open
24,Sam Stevens,303.6,"2,429",8,3M Open
24,Carson Young,303.6,"2,429",8,3M Open
27,Tyler Duncan,303.4,"2,427",8,3M Open
28,Patrick Fishburn,302.9,"2,423",8,3M Open
29,Charley Hoffman,302.6,"2,421",8,3M Open
30,Keegan Bradley,302.4,"2,419",8,3M Open
31,Matt NeSmith,302.3,"2,418",8,3M Open
32,Maverick McNealy,302.1,"2,417",8,3M Open
32,Robert Streb,302.1,"2,417",8,3M Open
34,Doug Ghim,301.8,"2,414",8,3M Open
35,Sahith Theegala,301.5,"2,412",8,3M Open
36,Pierceson Coody,301.4,"2,411",8,3M Open
37,Kevin Streelman,301.3,"2,410",8,3M Open
38,Patrick Rodgers,301.0,"2,408",8,3M Open
39,Tony Finau,300.8,"2,406",8,3M Open
40,Adam Svensson,300.6,"2,405",8,3M Open
41,Justin Suh,300.3,"2,402",8,3M Open
42,Harry Hall,300.1,"2,401",8,3M Open
43,Wesley Bryan,299.5,"2,396",8,3M Open
44,Joseph Bramlett,299.4,"2,395",8,3M Open
,Field Average,299.3,,,3M Open
45,Trace Crowe,299.1,"2,393",8,3M Open
45,Dylan Wu,299.1,"2,393",8,3M Open
47,Kevin Chappell,298.6,"2,389",8,3M Open
47,Mackenzie Hughes,298.6,"2,389",8,3M Open
49,Ben Silverman,298.1,"2,385",8,3M Open
50,Mac Meissner,297.8,"2,382",8,3M Open
51,J.J. Spaun,297.5,"2,380",8,3M Open
52,Austin Smotherman,297.1,"2,377",8,3M Open
53,Akshay Bhatia,296.1,"2,369",8,3M Open
53,Matt Wallace,296.1,"2,369",8,3M Open
55,Scott Piercy,296.0,"2,368",8,3M Open
56,Emiliano Grillo,295.9,"2,367",8,3M Open
57,Andrew Novak,295.5,"2,364",8,3M Open
58,Rico Hoey,295.4,"2,363",8,3M Open
58,Chad Ramey,295.4,"2,363",8,3M Open
60,Kurt Kitayama,295.3,"2,362",8,3M Open
61,Robby Shelton,294.4,"2,355",8,3M Open
62,David Skinns,293.6,"2,349",8,3M Open
63,Alex Smalley,292.4,"2,339",8,3M Open
64,Stewart Cink,292.3,"2,338",8,3M Open
65,Brice Garnett,291.1,"2,329",8,3M Open
66,Ben Kohles,288.3,"2,306",8,3M Open
67,Matt Kuchar,287.8,"2,302",8,3M Open
68,Kelly Kraft,285.9,"2,287",8,3M Open
68,Henrik Norlander,285.9,"2,287",8,3M Open
70,Kevin Kisner,284.8,"2,278",8,3M Open
71,Aaron Baddeley,283.1,"2,265",8,3M Open
72,Justin Lower,282.9,"2,263",8,3M Open
73,Zach Johnson,282.1,"2,257",8,3M Open
74,Andrew Putnam,280.6,"2,245",8,3M Open
1,Byeong Hun An,319.9,"2,559",8,The Open Championship
2,Cameron Young,317.3,"2,538",8,The Open Championship
3,Joseph Dean,314.3,"2,514",8,The Open Championship
4,Richard Mansell,308.5,"2,468",8,The Open Championship
5,Laurie Canter,305.1,"2,441",8,The Open Championship
6,Luis Masaveu,304.6,"2,437",8,The Open Championship
7,Rasmus Højgaard,304.0,"2,432",8,The Open Championship
8,Justin Thomas,302.6,"2,421",8,The Open Championship
9,Max Homa,301.6,"2,413",8,The Open Championship
10,Kurt Kitayama,301.5,"2,412",8,The Open Championship
11,Sam Burns,301.1,"2,409",8,The Open Championship
12,Matteo Manassero,301.0,"2,408",8,The Open Championship
13,Davis Thompson,300.6,"2,405",8,The Open Championship
14,Si Woo Kim,300.3,"2,402",8,The Open Championship
15,Ewen Ferguson,300.1,"2,401",8,The Open Championship
15,Nicolai Højgaard,300.1,"2,401",8,The Open Championship
17,John Catlin,300.0,"2,400",8,The Open Championship
18,Calum Scott,299.9,"2,399",8,The Open Championship
19,Minkyu Kim,299.8,"2,398",8,The Open Championship
20,Alex Noren,299.6,"2,397",8,The Open Championship
21,Adam Scott,299.5,"2,396",8,The Open Championship
22,Jordan Spieth,299.4,"2,395",8,The Open Championship
23,Matthieu Pavon,299.1,"2,393",8,The Open Championship
24,Robert MacIntyre,298.6,"2,389",8,The Open Championship
25,Adrian Meronk,298.1,"2,385",8,The Open Championship
26,Brian Harman,297.6,"2,381",8,The Open Championship
27,Sean Crocker,297.3,"2,378",8,The Open Championship
28,Jacob Skov Olesen,296.9,"2,375",8,The Open Championship
29,Austin Eckroat,296.8,"2,374",8,The Open Championship
